SignalType,Xsections,N_orig,FilterEffs,HLTBit,SigOrBG,MassOfLQ
SingleTop_sChannel,4.21,412055,1,1,0,0
SingleTop_tChannel,64.6,528593,1,1,0,0
SingleTop_tWChannel,10.6,466437,1,1,0,0
TTbarJets,165,1483404,1,1,0,0
WW,28,122980,1,1,0,0
ZZ,4.3,145368,1,1,0,0
WZ,10.5,118120,1,1,0,0
W0Jets_Pt0to100,25060.8,3541971,1,1,0,0
W1Jets_Pt0to100,4582.3,745069,1,1,0,0
W1Jets_Pt100to300,96.6599,162861,1,1,0,0
W1Jets_Pt300to800,0.736157,88721,1,1,0,0
W1Jets_Pt800to1600,0.00131387,98275,1,1,0,0
W2Jets_Pt0to100,1125.61,725850,1,1,0,0
W2Jets_Pt100to300,83.25,136274,1,1,0,0
W2Jets_Pt300to800,0.994,55651,1,1,0,0
W2Jets_Pt800to1600,0.002406,19718,1,1,0,0
W3Jets_Pt0to100,247.99,449050,1,1,0,0
W3Jets_Pt100to300,38.7351,60907,1,1,0,0
W3Jets_Pt300to800,0.6906,31169,1,1,0,0
W3Jets_Pt800to1600,0.002048,10197,1,1,0,0
W4Jets_Pt0to100,48.7466,82869,1,1,0,0
W4Jets_Pt100to300,11.8501,10011,1,1,0,0
W4Jets_Pt300to800,0.3136,9597,1,1,0,0
W4Jets_Pt800to1600,0.0010391,10566,1,1,0,0
W5Jets_Pt0to100,11.7045,9460,1,1,0,0
W5Jets_Pt100to300,3.9411,9538,1,1,0,0
W5Jets_Pt300to800,0.1666,10410,1,1,0,0
W5Jets_Pt800to1600,0.0006151,9269,1,1,0,0
DY,2289,2509827,1,1,0,0
LQToCMu_MuNuJJFilter_M_150,53.2,154085,0.5,1,1,150
LQToCMu_MuNuJJFilter_M_175,24.1,189071,0.5,1,1,175
LQToCMu_MuNuJJFilter_M_200,11.9,108928,0.5,1,1,200
LQToCMu_MuNuJJFilter_M_225,6.26,109978,0.5,1,1,225
LQToCMu_MuNuJJFilter_M_250,1.93,111609,1,1,1,250
LQToCMu_MuNuJJFilter_M_280,0.99,105830,1,1,1,280
LQToCMu_MuNuJJFilter_M_300,0.637,110192,1,1,1,300
LQToCMu_MuNuJJFilter_M_320,0.436,95148,1,1,1,320
LQToCMu_MuNuJJFilter_M_340,0.308,102104,1,1,1,340
LQToCMu_MuNuJJFilter_M_370,0.176,105956,1,1,1,340
LQToCMu_MuNuJJFilter_M_400,0.108,92075,1,1,1,400
LQToCMu_MuNuJJFilter_M_450,0.049,154858,1,1,1,450
LQToCMu_MuNuJJFilter_M_500,0.024,108442,1,1,1,500
LQToCMu_MuNuJJFilter_M_600,0.006,139103,1,1,1,600
CurrentData,1,1,1,1,2,-1
