SignalType,Xsections,N_orig,FilterEffs,HLTBit,SigOrBG,MassOfLQ,CastorDirectory
#TTbarJets,165,1483404,1,1,0,0
#W0Jets_Pt0to100,25060.8,3541971,1,1,0,0
#W1Jets_Pt0to100,4582.3,745069,1,1,0,0
#W1Jets_Pt100to300,96.6599,162861,1,1,0,0
#W1Jets_Pt300to800,0.736157,88721,1,1,0,0
#W1Jets_Pt800to1600,0.00131387,98275,1,1,0,0
#W2Jets_Pt0to100,1125.61,725850,1,1,0,0
#W2Jets_Pt100to300,83.25,136274,1,1,0,0
#W2Jets_Pt300to800,0.994,55651,1,1,0,0
#W2Jets_Pt800to1600,0.002406,19718,1,1,0,0
#W3Jets_Pt0to100,247.99,449050,1,1,0,0
#W3Jets_Pt100to300,38.7351,60907,1,1,0,0
#W3Jets_Pt300to800,0.6906,31169,1,1,0,0
#W3Jets_Pt800to1600,0.002048,10197,1,1,0,0
#W4Jets_Pt0to100,48.7466,82869,1,1,0,0
#W4Jets_Pt100to300,11.8501,10011,1,1,0,0
#W4Jets_Pt300to800,0.3136,9597,1,1,0,0
#W4Jets_Pt800to1600,0.0010391,10566,1,1,0,0
#W5Jets_Pt0to100,11.7045,9460,1,1,0,0
#W5Jets_Pt100to300,3.9411,9538,1,1,0,0
#W5Jets_Pt300to800,0.1666,10410,1,1,0,0
#W5Jets_Pt800to1600,0.0006151,9269,1,1,0,0
#SingleTop_sChannel,4.21,412055,1,1,0,0
#SingleTop_tChannel,64.6,528593,1,1,0,0
#SingleTop_tWChannel,10.6,466437,1,1,0,0
#WW,28,122980,1,1,0,0
#ZZ,4.3,145368,1,1,0,0
#WZ,10.5,118120,1,1,0,0
Z0Jets,2482.9,1291277,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z1Jets_ptZ-0to100,481.69,294189,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z1Jets_ptZ-100to300,12.049,240782,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z1Jets_ptZ-300to800,0.09854,88589,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z1Jets_ptZ-800to1600,0.000174,22850,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z2Jets_ptZ-0to100,120.2577,101272,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
