SignalType,Xsections,N_orig,Group,SigOrBG,MassOfLQ,RescalingInfo,CastorDirectory
SingleMu__Run2011A-PromptReco-v4,1,1,SingleMuData,2,-1,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_2011_Data_42X/RootNtuple_2011_Data_424-V00-02-05-2011DATA-160404-170044_20110717_030031
SingleMu__Run2011A-May10ReReco,1,1,SingleMuData,2,-1,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_2011_Data_42X/RootNtuple_2011_Data_424-V00-02-05-2011DATA-160404-170044_20110717_030031
SingleMu__Run2011A-PromptReco-v6,1,1,SingleMuData,2,-1,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_2011_Data_42X/RootNtuple_2011_Data_424-V00-02-05-2011DATA-170053-173439_20110819_210521
SingleMu__Run2011A-05Aug2011,1,1,SingleMuData,2,-1,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_2011_Data_42X/RootNtuple_2011_Data_424-V00-02-05-2011DATA-170053-173439_20110819_210521
TTJets,165,3627909,TTBar,0,0,0,/castor/cern.ch/user/b/barfuss/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_TTBarJets_MG_20110716_002523
T_TuneZ2_t-channel,42.6,3716180,SingleTop,0,0,0,/castor/cern.ch/user/b/barfuss/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_SingleTop_MG_20110716_003259
T_TuneZ2_s-channel,2.97,239175,SingleTop,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_SingleTop_MG_20110801_165639
T_TuneZ2_tW-channel-DR,5.3,814390,SingleTop,0,0,0,/castor/cern.ch/user/b/barfuss/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_SingleTop_MG_20110716_003259
Tbar_TuneZ2_t-channel,22,1944826,SingleTop,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_SingleTop_MG_20110725_212856
Tbar_TuneZ2_s-channel,1.63,137980,SingleTop,0,0,0,/castor/cern.ch/user/b/barfuss/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_SingleTop_MG_20110716_003259
Tbar_TuneZ2_tW-channel-DR,5.3,809984,SingleTop,0,0,0,/castor/cern.ch/user/b/barfuss/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_SingleTop_MG_20110716_003259
WJetsToLNu_TuneZ2,31314,76606619,WJets,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-05-Summer11MC_WJets_MG_20110715_205025
