SignalType,Xsections,N_orig,FilterEffs,HLTBit,SigOrBG,MassOfLQ,CastorDirectory
TTJets,121,1164208,1,1,0,0,/castor/cern.ch/user/e/eberry/LQ/RootNtupleSpring11/RootNtuple-V00-02-01-Spring11MC-TTBarMadGraph_20110528_083554
TToBLNu_TuneZ2_s-channel,0.99,494967,1,1,0,0,/castor/cern.ch/user/e/eberry/LQ/RootNtupleSpring11/RootNtuple-V00-02-01-Spring11MC-SingleTopMadGraph_20110528_083757
TToBLNu_TuneZ2_t-channel,63.3,484060,1,1,0,0,/castor/cern.ch/user/e/eberry/LQ/RootNtupleSpring11/RootNtuple-V00-02-01-Spring11MC-SingleTopMadGraph_20110528_083757
TToBLNu_TuneZ2_tW-channel,10.56,489417,1,1,0,0,/castor/cern.ch/user/e/eberry/LQ/RootNtupleSpring11/RootNtuple-V00-02-01-Spring11MC-SingleTopMadGraph_20110528_083757
WJetsToLNu,24640,14808756,1,1,0,0,/castor/cern.ch/user/b/barfuss/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_WJets_MADGRAPH_20110526_153439
WW,27.79,2061760,1,1,0,0,/castor/cern.ch/user/b/barfuss/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_Diboson_PYTHIA_20110526_154507
ZZ,4.297,2108608,1,1,0,0,/castor/cern.ch/user/b/barfuss/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_Diboson_PYTHIA_20110526_154507
WZ,10.4,2108416,1,1,0,0,/castor/cern.ch/user/b/barfuss/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_Diboson_PYTHIA_20110526_154507
Z0Jets,1929,1435909,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z1Jets_ptZ-0to100,380.8,14606305,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z1Jets_ptZ-100to300,8.721,11923684,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z1Jets_ptZ-300to800,0.07386,5626346,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z1Jets_ptZ-800to1600,0.0001374,502517,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z2Jets_ptZ-0to100,103.5,1335287,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z2Jets_ptZ-100to300,8.534,1124019,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z2Jets_ptZ-300to800,0.1151,655292,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z2Jets_ptZ-800to1600,0.0003023,62244,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z3Jets_ptZ-0to100,22.89,322554,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z3Jets_ptZ-100to300,3.951,293815,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
Z3Jets_ptZ-300to800,0.08344,183370,1,1,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC/RootNtuple-V00-02-01-Spring11MC_ZJets_ALPGEN_20110525_203142
