SignalType,Xsections,N_orig,Group,HLTBit,SigOrBG,MassOfLQ,RescalingInfo,CastorDirectory
TTJets,121,1164208,TTBar,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_TTBar_MADGRAPH_20110607_210901
#TToBLNu_TuneZ2_s-channel,0.99,494967,SingleTop,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_SingleTop_MADGRAPH_20110608_014439
#TToBLNu_TuneZ2_t-channel,63.3,484060,SingleTop,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_SingleTop_MADGRAPH_20110608_014439
#TToBLNu_TuneZ2_tW-channel,10.56,489417,SingleTop,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_SingleTop_MADGRAPH_20110608_014439
WJetsToLNu,24640,15110974,WJetsMG,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_WJets_MADGRAPH_20110608_015158
#WW,27.79,2061760,DiBoson,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_Diboson_PYTHIA_20110607_222451
#ZZ,4.297,2108608,DiBoson,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_Diboson_PYTHIA_20110607_222451
#WZ,10.4,2108416,DiBoson,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_Diboson_PYTHIA_20110607_222451
#Z0Jets,1929,1435909,ZJetsALP,1,0,0,[0.9999380221978;0.99975631136167;1.00030582317986],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z1Jets_ptZ-0to100,380.8,14904390,ZJetsALP,1,0,0,[0.34743494401954;16.4374809756356;16.4131526436113],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z1Jets_ptZ-100to300,8.721,11994815,ZJetsALP,1,0,0,[0.33864246517222;42.5669566019724;42.4796717735138],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z1Jets_ptZ-300to800,0.07386,5627879,ZJetsALP,1,0,0,[0.33941386609677;37.4119664533797;37.0164787567332],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z1Jets_ptZ-800to1600,0.0001374,502517,ZJetsALP,1,0,0,[0.34838731594159;15.5011721882905;15.3562217332844],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z2Jets_ptZ-0to100,103.5,1335287,ZJetsALP,1,0,0,[0.38175685913941;5.25347795980674;5.25813260247217],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z2Jets_ptZ-100to300,8.534,1124019,ZJetsALP,1,0,0,[0.3667877959624;7.33875896110001;7.27986865370043],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z2Jets_ptZ-300to800,0.1151,655292,ZJetsALP,1,0,0,[0.38206349456225;5.24947528638949;5.20457162826531],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z2Jets_ptZ-800to1600,0.0003023,62244,ZJetsALP,1,0,0,[0.4028033935817;3.82663223902619;3.90513833992095],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z3Jets_ptZ-0to100,22.89,322554,ZJetsALP,1,0,0,[0.40070512294929;3.92172454041436;4.00947195704057],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z3Jets_ptZ-100to300,3.951,293815,ZJetsALP,1,0,0,[0.42775115995009;3.01850253754957;3.02204188266272],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z3Jets_ptZ-300to800,0.08344,183370,ZJetsALP,1,0,0,[0.4189341704249;3.27598527887948;3.2495126705653],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z3Jets_ptZ-800to1600,0.000248,24439,ZJetsALP,1,0,0,[0.61481761006289;1.44004478227565;1.47258375512172],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z4Jets_ptZ-0to100,4.619,109008,ZJetsALP,1,0,0,[0.91899137560383;1.04431798585963;1.04790194664744],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z4Jets_ptZ-100to300,1.298,121573,ZJetsALP,1,0,0,[0.51134805467928;1.91351087606636;1.91649720186017],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z4Jets_ptZ-300to800,0.03935,45752,ZJetsALP,1,0,0,[0.41493896355952;3.41407357659876;3.36585006988891],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z4Jets_ptZ-800to1600,0.0001394,13084,ZJetsALP,1,0,0,[0.80735530050599;1.12550537634409;1.14560896593994],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z5Jets_ptZ-0to100,1.135,31100,ZJetsALP,1,0,0,[0.47982720049371;2.2217459637091;2.14675226064748],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z5Jets_ptZ-100to300,0.4758,30657,ZJetsALP,1,0,0,[0.44814278822962;2.54710867397807;2.65981259760541],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z5Jets_ptZ-300to800,0.01946,24866,ZJetsALP,1,0,0,[0.54337660067305;1.71572483267784;1.73366799135467],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
#Z5Jets_ptZ-800to1600,7.195E-05,31666,ZJetsALP,1,0,0,[0.45434458218549;2.53186215719197;2.47487299726456],/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_ALPGEN_20110608_023918
DYJetsToLL,2289,2329439,ZJetsMG,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_ZJets_MADGRAPH_20110607_210002
#QCD_Pt-15to20_MuPt5Enriched,1471168,991024,QCDMu,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_QCDMuEnriched_PYTHIA_20110607_223442
#QCD_Pt-20to30_MuPt5Enriched,1224034,1015900,QCDMu,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_QCDMuEnriched_PYTHIA_20110607_223442
#QCD_Pt-30to50_MuPt5Enriched,578463,2884915,QCDMu,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_QCDMuEnriched_PYTHIA_20110607_223442
#QCD_Pt-50to80_MuPt5Enriched,144421.74,11352301,QCDMu,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_QCDMuEnriched_PYTHIA_20110607_223442
#QCD_Pt-80to120_MuPt5Enriched,29048.7,10909951,QCDMu,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_QCDMuEnriched_PYTHIA_20110607_223442
#QCD_Pt-120to150_MuPt5Enriched,4440.2215,10686315,QCDMu,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_QCDMuEnriched_PYTHIA_20110607_223442
#QCD_Pt-150_MuPt5Enriched,2837.6712,3183540,QCDMu,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_QCDMuEnriched_PYTHIA_20110607_223442
#GJets_TuneD6T_HT-40To100,23620,2217101,Gjets,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_GammaJets_MADGRAPH_20110607_222949
#GJets_TuneD6T_HT-100To200,3476,1065691,Gjets,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_GammaJets_MADGRAPH_20110607_222949
#GJets_TuneD6T_HT-200_7TeV-madgraph,485,1142171,Gjets,1,0,0,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Spring2011MC_V2/RootNtuple-V00-02-04-Spring11MC_GammaJets_MADGRAPH_20110607_222949
SingleMu__Run2011A-May10ReReco-v1,1,1,SingleMuData,1,2,-1,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_2011_Data_42X/RootNtuple_2011_Data_42X-V00-02-04-RERECODATA-160404-163869_20110608_173348
SingleMu__Run2011A-PromptReco-v4,1,1,SingleMuData,1,2,-1,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_2011_Data_42X/RootNtuple_2011_Data_42X-V00-02-04-PROMPTDATA-1603870-166563_20110608_205826
LQToCMu_M-250_7TeV-pythia6__Summer11,3.47,50388,LQToCMu_M_250,1,1,250,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-04-Spring11MC_LQToCMu_BetaOne_20110620_130000
#LQToCMu_M-350_7TeV-pythia6__Summer11,0.477,56279,LQToCMu_M_350,1,1,350,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-04-Spring11MC_LQToCMu_BetaOne_20110620_130000
LQToCMu_M-400_7TeV-pythia6__Summer11,0.205,58680,LQToCMu_M_400,1,1,400,0,/castor/cern.ch/user/d/darinb/LQ/RootNtuple_Summer2011MC/RootNtuple-V00-02-04-Spring11MC_LQToCMu_BetaOne_20110620_130000
