SignalType,Xsections,N_orig,Group,CastorDirectory
TTJets_TuneZ2_7TeV-madgraph,165,3627909,TTBar,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_TTBarJets_MG_20110903_030731
DYJetsToLL_TuneZ2_M-50_7TeV-madgraph,3048,36731431,ZJets_MG,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_ZJets_MG_20110909_183645
WJetsToLNu_TuneZ2_7TeV-madgraph,31314,79962923,WJets_MG,/store/group/phys_smp/WPlusJets/ntuples/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_WJetsMadGraph_20130828_222756
T_TuneZ2_t-channel,42.6,3744165,SingleTop,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945
T_TuneZ2_s-channel,2.97,259971,SingleTop,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945
T_TuneZ2_tW-channel-DR,5.3,814390,SingleTop,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945
Tbar_TuneZ2_t-channel,22,1944826,SingleTop,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945
Tbar_TuneZ2_s-channel,1.63,137980,SingleTop,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945
Tbar_TuneZ2_tW-channel-DR,5.3,809984,SingleTop,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_SingleTop_MG_20110903_031945
WW,43,4120269,DiBoson,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_DiBoson_PYTHIA_20110903_032914
ZZ,5.9,3978491,DiBoson,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_DiBoson_PYTHIA_20110903_032914
WZ,18.2,4265243,DiBoson,/store/group/phys_exotica/leptonsPlusJets/leptoquarks/NTuples_V00_02_06/RootNtuple-V00-02-06-Summer11MC_DiBoson_PYTHIA_20110903_032914
